ID_Transaccion,Fecha,ID_Cliente,Pais,Ciudad,Categoria,Subcategoria,Producto,Cantidad,Precio_Unitario,Costo_Unitario,Venta_Total,Costo_Total,Metodo_Pago
TRX-108202,2023-01-03,217,Perú,Arequipa,Hogar,Cocina,Prod_Cocina_1,7.0,44.64,27.56,312.48,192.92,
TRX-109804,2023-01-03,1485,Chile,Concepción,Ropa,Calzado,Prod_Calzado_6,3.0,19.98,11.21,59.94,33.63,Crédito
TRX-103368,2023-01-04,1096,Argentina,Buenos Aires,Electrónica,Laptops,Prod_Laptops_9,8.0,16.24,11.79,129.92,94.32,Crédito
TRX-109618,2023-01-04,306,Chile,Santiago,Ropa,Dama,Prod_Dama_17,8.0,18.44,10.77,147.52,86.16,Crédito
TRX-112211,2023-01-04,209,Argentina,Buenos Aires,Hogar,Cocina,Prod_Cocina_13,1.0,33.81,26.63,33.81,26.63,Efectivo
TRX-109173,2023-01-04,837,Argentina,Buenos Aires,Electrónica,Tablets,Prod_Tablets_6,5.0,229.45,134.19,1147.25,670.95,Débito
TRX-108865,2023-01-04,35,Chile,Valparaíso,Hogar,Iluminación,Prod_Iluminación_7,9.0,52.65,32.98,473.85,296.82,Transferencia
TRX-106225,2023-01-04,935,Argentina,Rosario,Ropa,Calzado,Prod_Calzado_6,3.0,,16.48,98.07,49.44,Crédito
TRX-107991,2023-01-04,1401,Perú,Arequipa,Electrónica,Celulares,Prod_Celulares_16,4.0,77.45,53.33,309.8,213.32,Transferencia
TRX-112799,2023-01-04,738,Argentina,Buenos Aires,Hogar,Iluminación,Prod_Iluminación_18,4.0,23.9,15.93,95.6,63.72,Efectivo
TRX-112192,2023-01-04,143,Perú,Lima,Hogar,Iluminación,Prod_Iluminación_2,4.0,28.35,16.92,113.4,67.68,Transferencia
TRX-110641,2023-01-04,1287,Argentina,Buenos Aires,Ropa,Dama,Prod_Dama_5,5.0,53.75,34.96,268.75,174.8,Efectivo
TRX-114198,2023-01-04,1641,Argentina,Rosario,Hogar,Iluminación,Prod_Iluminación_18,5.0,64.04,43.92,320.2,219.6,Crédito
TRX-102118,2023-01-04,1335,Perú,Trujillo,Electrónica,Laptops,Prod_Laptops_15,3.0,161.45,83.42,484.35,250.26,Transferencia
TRX-109603,2023-01-04,1322,Chile,Santiago,Electrónica,Celulares,Prod_Celulares_11,5.0,157.65,122.11,788.25,610.55,Débito
TRX-102360,2023-01-04,1666,Perú,Trujillo,Electrónica,Celulares,Prod_Celulares_8,8.0,147.73,101.8,1181.84,814.4,Efectivo
TRX-103812,2023-01-04,490,Perú,Trujillo,Ropa,Infantil,Prod_Infantil_13,3.0,44.19,33.7,132.57,101.1,Transferencia
TRX-107116,2023-01-04,559,Argentina,,Ropa,Dama,Prod_Dama_13,1.0,8.41,4.98,8.41,4.98,Efectivo
TRX-101168,2023-01-04,1802,Argentina,Buenos Aires,Hogar,Decoración,Prod_Decoración_3,7.0,30.14,16.94,210.98,118.58,Débito
TRX-109529,2023-01-04,533,Chile,Santiago,Ropa,Infantil,Prod_Infantil_11,4.0,64.4,36.49,257.6,145.96,Efectivo
TRX-113888,2023-01-04,542,Argentina,Rosario,Electrónica,Tablets,Prod_Tablets_1,2.0,151.75,92.94,303.5,185.88,Transferencia
TRX-113318,2023-01-04,1500,Chile,Valparaíso,Electrónica,Laptops,Prod_Laptops_16,2.0,5.0,2.58,10.0,5.16,Débito
TRX-106847,2023-01-04,1204,Chile,Concepción,Ropa,Calzado,Prod_Calzado_11,6.0,52.53,37.29,315.18,223.74,
TRX-105076,2023-01-04,1006,Chile,Santiago,Hogar,Muebles,Prod_Muebles_18,5.0,44.23,25.81,221.15,129.05,Efectivo
TRX-104792,2023-01-04,346,Chile,Santiago,Electrónica,Celulares,Prod_Celulares_11,6.0,214.16,117.96,1284.96,707.76,Débito
TRX-100405,2023-01-04,1363,Chile,Valparaíso,Ropa,Infantil,Prod_Infantil_4,5.0,50.94,34.83,254.7,174.15,Débito
TRX-107521,2023-01-04,1475,Chile,Concepción,Electrónica,Laptops,Prod_Laptops_15,2.0,120.67,65.57,241.34,131.14,Transferencia
TRX-101821,2023-01-04,13,Argentina,Buenos Aires,Electrónica,Laptops,Prod_Laptops_11,8.0,109.3,62.77,874.4,502.16,Efectivo
TRX-100606,2023-01-04,1252,Chile,Santiago,Ropa,Calzado,Prod_Calzado_15,2.0,55.56,30.8,111.12,61.6,Débito
TRX-101637,2023-01-04,1424,Perú,Trujillo,Hogar,Iluminación,Prod_Iluminación_6,7.0,44.99,29.86,314.93,209.02,Efectivo
TRX-101191,2023-01-04,1742,Perú,Lima,Hogar,Iluminación,Prod_Iluminación_2,6.0,52.41,31.2,314.46,187.2,Crédito
TRX-101347,2023-01-05,1784,Perú,Lima,Hogar,Muebles,Prod_Muebles_8,2.0,12.98,6.69,25.96,13.38,Efectivo
TRX-109682,2023-01-05,158,Perú,Lima,Hogar,Iluminación,Prod_Iluminación_17,7.0,61.26,38.53,428.82,269.71,Transferencia
TRX-113699,2023-01-05,929,Argentina,Buenos Aires,Ropa,Dama,Prod_Dama_18,7.0,25.8,13.1,180.6,91.7,Transferencia
TRX-102812,2023-01-05,124,Chile,Valparaíso,Electrónica,Celulares,Prod_Celulares_14,7.0,143.0,98.95,1001.0,692.65,Débito
TRX-102533,2023-01-05,290,Argentina,Buenos Aires,Ropa,Dama,Prod_Dama_6,4.0,46.96,34.38,187.84,137.52,
TRX-103591,2023-01-05,747,Argentina,Córdoba,Ropa,Calzado,Prod_Calzado_17,4.0,51.25,27.35,205.0,109.4,Débito
TRX-106643,2023-01-05,397,Perú,Lima,,Accesorios,Prod_Accesorios_13,7.0,47.02,32.12,329.14,224.84,Transferencia
TRX-101286,2023-01-05,328,argentina,Buenos Aires,Electrónica,Laptops,Prod_Laptops_7,5.0,52.74,34.35,263.7,171.75,Crédito
TRX-100510,2023-01-05,404,Argentina,Rosario,Ropa,Calzado,Prod_Calzado_9,9.0,62.06,39.92,558.54,359.28,Transferencia
TRX-100156,2023-01-05,1766,Argentina,Córdoba,Electrónica,Laptops,Prod_Laptops_8,1.0,92.47,52.28,92.47,52.28,Débito
TRX-106745,2023-01-05,1489,Argentina,Buenos Aires,Ropa,Calzado,Prod_Calzado_12,4.0,52.95,33.51,211.8,134.04,Transferencia
TRX-104840,2023-01-05,1484,Chile,Santiago,Electrónica,Accesorios,Prod_Accesorios_17,7.0,123.83,90.47,866.81,633.29,Efectivo
TRX-105285,2023-01-05,1725,Arg,Buenos Aires,Ropa,Dama,Prod_Dama_8,4.0,68.29,50.6,273.16,202.4,Débito
TRX-113376,2023-01-05,1985,Chile,Valparaíso,Ropa,Calzado,Prod_Calzado_10,3.0,47.16,36.6,141.48,109.8,Crédito
TRX-104344,2023-01-05,332,Argentina,Córdoba,Hogar,Muebles,Prod_Muebles_4,3.0,29.63,15.76,88.89,47.28,Débito
TRX-101046,2023-01-05,1963,Perú,Arequipa,Hogar,Cocina,Prod_Cocina_4,7.0,43.65,24.9,305.55,174.3,Débito
TRX-105948,2023-01-05,996,Argentina,Buenos Aires,Ropa,Infantil,Prod_Infantil_9,4.0,59.79,30.37,239.16,121.48,Efectivo
TRX-109072,2023-01-05,1423,Perú,Lima,Electrónica,Accesorios,Prod_Accesorios_3,5.0,94.99,60.07,474.95,300.35,Efectivo
TRX-109037,2023-01-05,669,Argentina,Buenos Aires,Ropa,Dama,Prod_Dama_13,4.0,38.05,22.49,152.2,89.96,Débito
TRX-101924,2023-01-05,1536,Perú,Arequipa,Hogar,Cocina,Prod_Cocina_4,8.0,28.61,21.52,228.88,172.16,Débito
TRX-102991,2023-01-05,152,Chile,Concepción,Electrónica,Celulares,Prod_Celulares_10,8.0,82.13,57.65,657.04,461.2,Crédito
TRX-114325,2023-01-05,1528,argentina,Buenos Aires,Hogar,Iluminación,Prod_Iluminación_18,1.0,48.88,38.42,48.88,38.42,Débito
TRX-104325,2023-01-05,817,Perú,,Ropa,Dama,Prod_Dama_10,2.0,52.27,34.14,104.54,68.28,Crédito
TRX-106572,2023-01-05,1048,Chile,,Ropa,Dama,Prod_Dama_13,5.0,52.91,35.1,264.55,175.5,Débito
TRX-113570,2023-01-05,487,PERU,Trujillo,Ropa,Dama,Prod_Dama_14,1.0,27.05,18.52,27.05,18.52,
TRX-114864,2023-01-05,1842,Chile,Santiago,Hogar,Iluminación,Prod_Iluminación_18,2.0,43.59,25.8,87.18,51.6,Efectivo
TRX-109375,2023-01-05,105,Argentina,Córdoba,Ropa,Caballero,Prod_Caballero_19,6.0,,9.62,102.48,57.72,Crédito
TRX-107065,2023-01-05,1186,Chile,Valparaíso,Ropa,Calzado,Prod_Calzado_7,1.0,60.06,36.39,60.06,36.39,Crédito
TRX-100894,2023-01-05,1219,Chile,Concepción,Ropa,Calzado,Prod_Calzado_12,3.0,45.45,36.29,136.35,108.87,Crédito
TRX-102868,2023-01-05,578,Perú,Trujillo,Ropa,Dama,Prod_Dama_6,4.0,29.87,20.18,119.48,80.72,Débito
TRX-114644,2023-01-05,1007,Chile,Santiago,Hogar,Decoración,Prod_Decoración_16,4.0,29.64,15.96,118.56,63.84,Transferencia
TRX-100759,2023-01-05,140,Argentina,Buenos Aires,Hogar,Muebles,Prod_Muebles_14,1.0,35.24,23.59,35.24,23.59,Transferencia
TRX-100919,2023-01-06,759,Perú,Lima,Ropa,Calzado,Prod_Calzado_1,7.0,51.79,33.65,362.53,235.55,Débito
TRX-105614,2023-01-06,583,Chile,Concepción,Ropa,Calzado,Prod_Calzado_9,9.0,57.26,32.37,515.34,291.33,Débito
TRX-106736,2023-01-06,216,Perú,Arequipa,Ropa,Calzado,Prod_Calzado_12,6.0,64.96,37.66,389.76,225.96,Efectivo
TRX-104870,2023-01-06,1318,Argentina,Buenos Aires,Ropa,Calzado,Prod_Calzado_19,8.0,45.34,27.31,362.72,218.48,Transferencia
TRX-108560,2023-01-06,230,Perú,Trujillo,Hogar,Cocina,Prod_Cocina_10,7.0,53.86,29.49,377.02,206.43,Transferencia
TRX-113373,2023-01-06,1385,Argentina,Buenos Aires,Electrónica,Laptops,Prod_Laptops_16,4.0,125.75,68.85,503.0,275.4,Crédito
TRX-105778,2023-01-06,1008,Perú,Trujillo,Electrónica,Tablets,Prod_Tablets_1,4.0,162.98,89.38,651.92,357.52,Transferencia
TRX-101150,2023-01-06,1364,Argentina,Córdoba,Ropa,Infantil,Prod_Infantil_10,3.0,6.13,4.09,18.39,12.27,DEBITO
TRX-111055,2023-01-06,1870,Chile,Santiago,Ropa,Infantil,Prod_Infantil_15,5.0,57.98,36.84,289.9,184.2,Transferencia
TRX-111309,2023-01-06,1227,Chile,Valparaíso,Ropa,Caballero,Prod_Caballero_1,9.0,9.04,5.1,81.36,45.9,Efectivo
TRX-110872,2023-01-06,1936,Argentina,Buenos Aires,Electrónica,Laptops,Prod_Laptops_6,9.0,126.43,94.73,1137.87,852.57,Crédito
TRX-105332,2023-01-06,1535,Perú,Lima,Electrónica,Tablets,Prod_Tablets_7,9.0,128.55,76.54,1156.95,688.86,Débito
TRX-112731,2023-01-06,1526,Perú,Arequipa,Ropa,Caballero,Prod_Caballero_17,5.0,39.12,27.19,195.6,135.95,Transferencia
TRX-106861,2023-01-06,1586,Perú,Lima,Ropa,Caballero,Prod_Caballero_12,4.0,37.37,24.27,149.48,97.08,Crédito
TRX-100415,2023-01-06,1490,Perú,Arequipa,Electrónica,Accesorios,Prod_Accesorios_1,7.0,,78.43,1026.83,549.01,
TRX-107772,2023-01-06,202,Argentina,Córdoba,Ropa,Caballero,Prod_Caballero_2,1.0,48.23,31.13,48.23,31.13,Crédito
TRX-106347,2023-01-06,1706,Argentina,Buenos Aires,Electrónica,Celulares,Prod_Celulares_9,9.0,124.92,85.66,1124.28,770.94,Débito
TRX-106850,2023-01-06,463,Perú,Trujillo,Hogar,Cocina,Prod_Cocina_17,6.0,10.52,8.36,63.12,50.16,Débito
TRX-101187,2023-01-06,1732,Chile,Concepción,Electrónica,Tablets,Prod_Tablets_19,5.0,150.73,114.5,753.65,572.5,Crédito
TRX-111564,2023-01-06,1050,Perú,Arequipa,Hogar,Cocina,Prod_Cocina_14,5.0,31.19,16.51,155.95,82.55,Transferencia
TRX-109979,2023-01-06,1417,Perú,Arequipa,Hogar,Iluminación,Prod_Iluminación_14,6.0,40.31,32.05,241.86,192.3,Débito
TRX-106503,2023-01-06,1579,Argentina,Córdoba,Hogar,Muebles,Prod_Muebles_3,8.0,36.96,21.81,295.68,174.48,Transferencia
TRX-108124,2023-01-06,1061,Chile,Valparaíso,Hogar,Cocina,Prod_Cocina_4,5.0,30.23,16.69,151.15,83.45,Débito
TRX-107688,2023-01-06,1026,Perú,Lima,Electrónica,Laptops,Prod_Laptops_10,,143.97,102.7,575.88,410.8,Efectivo
TRX-101575,2023-01-07,146,Perú,Lima,Ropa,Dama,Prod_Dama_15,2.0,20.49,15.37,40.98,30.74,Efectivo
TRX-111189,2023-01-07,1300,Argentina,Buenos Aires,Electrónica,Accesorios,Prod_Accesorios_11,5.0,81.69,58.28,408.45,291.4,Transferencia
TRX-109300,2023-01-07,683,Chile,Valparaíso,Electrónica,Laptops,Prod_Laptops_14,5.0,143.79,90.01,718.95,450.05,Débito
TRX-113500,2023-01-07,1394,Perú,Arequipa,Electrónica,Accesorios,Prod_Accesorios_18,5.0,195.71,131.19,978.55,655.95,Débito
TRX-102293,2023-01-07,1695,Argentina,Buenos Aires,Hogar,Cocina,Prod_Cocina_12,3.0,31.76,18.99,95.28,56.97,Efectivo
TRX-113719,2023-01-07,132,Argentina,Buenos Aires,Hogar,Muebles,Prod_Muebles_13,9.0,58.19,31.27,523.71,281.43,Transferencia
TRX-105415,2023-01-07,1649,Argentina,Rosario,Electrónica,Tablets,Prod_Tablets_18,3.0,113.1,78.55,339.3,235.65,Débito
TRX-100749,2023-01-07,1745,Perú,Lima,Electrónica,Celulares,Prod_Celulares_17,6.0,5.62,3.64,33.72,21.84,Débito
TRX-110047,2023-01-07,1579,Chile,Santiago,Ropa,Dama,Prod_Dama_8,9.0,49.69,33.7,447.21,303.3,Débito
TRX-106139,2023-01-07,110,Chile,Santiago,Hogar,Decoración,Prod_Decoración_8,8.0,25.84,14.46,206.72,115.68,Crédito
