,ID_Transaccion,Fecha,ID_Cliente,Pais,Ciudad,Categoria,Subcategoria,Producto,Cantidad,Precio_Unitario,Costo_Unitario,Venta_Total,Costo_Total,Metodo_Pago,Ganancia_Bruta,mes_texto,Total_Compras,Indice_Constancia
96,TRX-107521,2023-01-04,1475,Chile,Concepción,Electrónica,Laptops,Prod_Laptops_15,2.0,120.67,65.57,241.34,131.14,Transferencia,110.2,01-Enero,9,02-Regular
97,TRX-101821,2023-01-04,13,Argentina,Buenos Aires,Electrónica,Laptops,Prod_Laptops_11,8.0,109.3,62.77,874.4,502.16,Efectivo,372.24,01-Enero,12,01-Fiel (VIP)
98,TRX-100606,2023-01-04,1252,Chile,Santiago,Ropa,Calzado,Prod_Calzado_15,2.0,55.56,30.8,111.12,61.6,Débito,49.52,01-Enero,5,02-Regular
99,TRX-101637,2023-01-04,1424,Perú,Trujillo,Hogar,Iluminación,Prod_Iluminación_6,7.0,44.99,29.86,314.93,209.02,Efectivo,105.91,01-Enero,8,02-Regular
100,TRX-101191,2023-01-04,1742,Perú,Lima,Hogar,Iluminación,Prod_Iluminación_2,6.0,52.41,31.2,314.46,187.2,Crédito,127.26,01-Enero,9,02-Regular
101,TRX-101347,2023-01-05,1784,Perú,Lima,Hogar,Muebles,Prod_Muebles_8,2.0,12.98,6.69,25.96,13.38,Efectivo,12.58,01-Enero,6,02-Regular
102,TRX-109682,2023-01-05,158,Perú,Lima,Hogar,Iluminación,Prod_Iluminación_17,7.0,61.26,38.53,428.82,269.71,Transferencia,159.11,01-Enero,4,02-Regular
103,TRX-113699,2023-01-05,929,Argentina,Buenos Aires,Ropa,Dama,Prod_Dama_18,7.0,25.8,13.1,180.6,91.7,Transferencia,88.9,01-Enero,7,02-Regular
104,TRX-102533,2023-01-05,290,Argentina,Buenos Aires,Ropa,Dama,Prod_Dama_6,4.0,46.96,34.38,187.84,137.52,No Identificado,50.32,01-Enero,5,02-Regular
105,TRX-103591,2023-01-05,747,Argentina,Córdoba,Ropa,Calzado,Prod_Calzado_17,4.0,51.25,27.35,205.0,109.4,Débito,95.6,01-Enero,9,02-Regular
106,TRX-106643,2023-01-05,397,Perú,Lima,Electrónica,Accesorios,Prod_Accesorios_13,7.0,47.02,32.12,329.14,224.84,Transferencia,104.3,01-Enero,8,02-Regular
107,TRX-101286,2023-01-05,328,Argentina,Buenos Aires,Electrónica,Laptops,Prod_Laptops_7,5.0,52.74,34.35,263.7,171.75,Crédito,91.95,01-Enero,7,02-Regular
108,TRX-100510,2023-01-05,404,Argentina,Rosario,Ropa,Calzado,Prod_Calzado_9,9.0,62.06,39.92,558.54,359.28,Transferencia,199.26,01-Enero,6,02-Regular
109,TRX-100156,2023-01-05,1766,Argentina,Córdoba,Electrónica,Laptops,Prod_Laptops_8,1.0,92.47,52.28,92.47,52.28,Débito,40.19,01-Enero,6,02-Regular
110,TRX-106745,2023-01-05,1489,Argentina,Buenos Aires,Ropa,Calzado,Prod_Calzado_12,4.0,52.95,33.51,211.8,134.04,Transferencia,77.76,01-Enero,2,03-Ocasional
111,TRX-104840,2023-01-05,1484,Chile,Santiago,Electrónica,Accesorios,Prod_Accesorios_17,7.0,123.83,90.47,866.81,633.29,Efectivo,233.52,01-Enero,6,02-Regular
112,TRX-105285,2023-01-05,1725,Argentina,Buenos Aires,Ropa,Dama,Prod_Dama_8,4.0,68.29,50.6,273.16,202.4,Débito,70.76,01-Enero,9,02-Regular
113,TRX-113376,2023-01-05,1985,Chile,Valparaíso,Ropa,Calzado,Prod_Calzado_10,3.0,47.16,36.6,141.48,109.8,Crédito,31.68,01-Enero,7,02-Regular
114,TRX-104344,2023-01-05,332,Argentina,Córdoba,Hogar,Muebles,Prod_Muebles_4,3.0,29.63,15.76,88.89,47.28,Débito,41.61,01-Enero,9,02-Regular
115,TRX-101046,2023-01-05,1963,Perú,Arequipa,Hogar,Cocina,Prod_Cocina_4,7.0,43.65,24.9,305.55,174.3,Débito,131.25,01-Enero,6,02-Regular
116,TRX-105948,2023-01-05,996,Argentina,Buenos Aires,Ropa,Infantil,Prod_Infantil_9,4.0,59.79,30.37,239.16,121.48,Efectivo,117.68,01-Enero,5,02-Regular
117,TRX-109072,2023-01-05,1423,Perú,Lima,Electrónica,Accesorios,Prod_Accesorios_3,5.0,94.99,60.07,474.95,300.35,Efectivo,174.6,01-Enero,5,02-Regular
118,TRX-109037,2023-01-05,669,Argentina,Buenos Aires,Ropa,Dama,Prod_Dama_13,4.0,38.05,22.49,152.2,89.96,Débito,62.24,01-Enero,10,01-Fiel (VIP)
119,TRX-101924,2023-01-05,1536,Perú,Arequipa,Hogar,Cocina,Prod_Cocina_4,8.0,28.61,21.52,228.88,172.16,Débito,56.72,01-Enero,5,02-Regular
120,TRX-102991,2023-01-05,152,Chile,Concepción,Electrónica,Celulares,Prod_Celulares_10,8.0,82.13,57.65,657.04,461.2,Crédito,195.84,01-Enero,10,01-Fiel (VIP)
121,TRX-114325,2023-01-05,1528,Argentina,Buenos Aires,Hogar,Iluminación,Prod_Iluminación_18,1.0,48.88,38.42,48.88,38.42,Débito,10.46,01-Enero,6,02-Regular
122,TRX-104325,2023-01-05,817,Perú,Sin Especificar,Ropa,Dama,Prod_Dama_10,2.0,52.27,34.14,104.54,68.28,Crédito,36.26,01-Enero,7,02-Regular
123,TRX-106572,2023-01-05,1048,Chile,Sin Especificar,Ropa,Dama,Prod_Dama_13,5.0,52.91,35.1,264.55,175.5,Débito,89.05,01-Enero,10,01-Fiel (VIP)
124,TRX-113570,2023-01-05,487,Perú,Trujillo,Ropa,Dama,Prod_Dama_14,1.0,27.05,18.52,27.05,18.52,No Identificado,8.53,01-Enero,7,02-Regular
125,TRX-114864,2023-01-05,1842,Chile,Santiago,Hogar,Iluminación,Prod_Iluminación_18,2.0,43.59,25.8,87.18,51.6,Efectivo,35.58,01-Enero,7,02-Regular
126,TRX-107065,2023-01-05,1186,Chile,Valparaíso,Ropa,Calzado,Prod_Calzado_7,1.0,60.06,36.39,60.06,36.39,Crédito,23.67,01-Enero,6,02-Regular
127,TRX-100894,2023-01-05,1219,Chile,Concepción,Ropa,Calzado,Prod_Calzado_12,3.0,45.45,36.29,136.35,108.87,Crédito,27.48,01-Enero,9,02-Regular
128,TRX-102868,2023-01-05,578,Perú,Trujillo,Ropa,Dama,Prod_Dama_6,4.0,29.87,20.18,119.48,80.72,Débito,38.76,01-Enero,12,01-Fiel (VIP)
129,TRX-114644,2023-01-05,1007,Chile,Santiago,Hogar,Decoración,Prod_Decoración_16,4.0,29.64,15.96,118.56,63.84,Transferencia,54.72,01-Enero,7,02-Regular
130,TRX-100759,2023-01-05,140,Argentina,Buenos Aires,Hogar,Muebles,Prod_Muebles_14,1.0,35.24,23.59,35.24,23.59,Transferencia,11.65,01-Enero,5,02-Regular
131,TRX-100919,2023-01-06,759,Perú,Lima,Ropa,Calzado,Prod_Calzado_1,7.0,51.79,33.65,362.53,235.55,Débito,126.98,01-Enero,5,02-Regular
132,TRX-105614,2023-01-06,583,Chile,Concepción,Ropa,Calzado,Prod_Calzado_9,9.0,57.26,32.37,515.34,291.33,Débito,224.01,01-Enero,6,02-Regular
133,TRX-106736,2023-01-06,216,Perú,Arequipa,Ropa,Calzado,Prod_Calzado_12,6.0,64.96,37.66,389.76,225.96,Efectivo,163.8,01-Enero,5,02-Regular
134,TRX-104870,2023-01-06,1318,Argentina,Buenos Aires,Ropa,Calzado,Prod_Calzado_19,8.0,45.34,27.31,362.72,218.48,Transferencia,144.24,01-Enero,5,02-Regular
135,TRX-108560,2023-01-06,230,Perú,Trujillo,Hogar,Cocina,Prod_Cocina_10,7.0,53.86,29.49,377.02,206.43,Transferencia,170.59,01-Enero,6,02-Regular
136,TRX-113373,2023-01-06,1385,Argentina,Buenos Aires,Electrónica,Laptops,Prod_Laptops_16,4.0,125.75,68.85,503.0,275.4,Crédito,227.6,01-Enero,8,02-Regular
137,TRX-105778,2023-01-06,1008,Perú,Trujillo,Electrónica,Tablets,Prod_Tablets_1,4.0,162.98,89.38,651.92,357.52,Transferencia,294.4,01-Enero,6,02-Regular
138,TRX-101150,2023-01-06,1364,Argentina,Córdoba,Ropa,Infantil,Prod_Infantil_10,3.0,6.13,4.09,18.39,12.27,Débito,6.12,01-Enero,5,02-Regular
139,TRX-111055,2023-01-06,1870,Chile,Santiago,Ropa,Infantil,Prod_Infantil_15,5.0,57.98,36.84,289.9,184.2,Transferencia,105.7,01-Enero,6,02-Regular
140,TRX-111309,2023-01-06,1227,Chile,Valparaíso,Ropa,Caballero,Prod_Caballero_1,9.0,9.04,5.1,81.36,45.9,Efectivo,35.46,01-Enero,5,02-Regular
141,TRX-112731,2023-01-06,1526,Perú,Arequipa,Ropa,Caballero,Prod_Caballero_17,5.0,39.12,27.19,195.6,135.95,Transferencia,59.65,01-Enero,9,02-Regular
142,TRX-106861,2023-01-06,1586,Perú,Lima,Ropa,Caballero,Prod_Caballero_12,4.0,37.37,24.27,149.48,97.08,Crédito,52.4,01-Enero,7,02-Regular
143,TRX-107772,2023-01-06,202,Argentina,Córdoba,Ropa,Caballero,Prod_Caballero_2,1.0,48.23,31.13,48.23,31.13,Crédito,17.1,01-Enero,9,02-Regular
144,TRX-106850,2023-01-06,463,Perú,Trujillo,Hogar,Cocina,Prod_Cocina_17,6.0,10.52,8.36,63.12,50.16,Débito,12.96,01-Enero,8,02-Regular
